id,slug,title,collection,category,price,description,details,mainImage,lifestyleImage,galleryImages,imageFit,variants,isFeatured,hasVictorianFrame,material,created_at,updated_at,stock_count
prod_1786828593893,prod_1786828593893,textured starfish pendant,women,pendants,169,"A textured starfish pendant captures the organic, sun-washed beauty of the ocean, offering a coastal-inspired statement piece with rich tactile depth and intricate detail.","[""Dimensional Shape"",""Relief Texturing"",""Organic Asymmetry""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828251263_9tejb1plsie.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828255751_wjfko879xjd.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":8,""inStock"":true}]",false,false,stainless steel,2026-08-15 21:16:35.337793+00,2026-08-15 21:16:35.337793+00,8
prod_1786828872628,prod_1786828872628,mini butterfly pendant,women,pendants,159,"A mini butterfly pendant offers a delicate, understated take on classic winged motifs, combining dainty proportions with graceful symmetry for a subtle everyday accessory.","[""Dainty Scale"",""Clean Wing Symmetry"",""Integrated Bail""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828661681_hj0spe85vmc.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828668607_alqs9t3a6m.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":6,""inStock"":true}]",false,false,stainless steel,2026-08-15 21:21:14.240638+00,2026-08-15 21:21:14.240638+00,6
prod_1786829102146,prod_1786829102146,golden sunburst pendant,women,pendants,269,"a golden high-quality sunburst pendant captures the radiant warmth and timeless elegance of celestial design, meticulously crafted from premium precious metals to deliver a luminous, eye-catching statement piece.","[""high-purity material"",""intricate radial detailing"",""polished reflective finish""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828920536_y84xkavn4dp.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786828929799_5c0v3t8vrhc.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":0,""inStock"":false}]",false,false,high quality stainless steel,2026-08-15 21:25:03.210324+00,2026-08-15 21:25:03.210324+00,0
prod_1786829392708,prod_1786829392708,"resin flower pendant ",women,pendants,179,"a real resin flower pendant encases hand-picked botanical elements in crystal-clear resin, capturing a fleeting moment of nature in a durable, wearable work of art.","[""Botanical Preservation"",""Secure Metal Framing"",""Optically Clear Resin""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829249564_pzcu147qfus.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829255527_ppauyowaez.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size "",""stock"":21,""inStock"":true}]",false,false,high quality stainless steel,2026-08-15 21:29:53.786455+00,2026-08-15 21:29:53.786455+00,21
prod_1786829635659,prod_1786829635659,"golden gothic butterfly pendant ",women,pendants,179,"a golden huge gothic butterfly pendant merges dramatic, oversized proportions with dark alternative styling, using warm metallic tones to elevate intricate macabre details into a high-impact statement piece.","[""oversized statement scale"",""ornate filigree wings"",""dimensional layering""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829429853_zt1imgglk6b.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829436244_o9qoexjaprg.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":2,""inStock"":true}]",false,false,stainless steel,2026-08-15 21:33:56.705561+00,2026-08-15 21:33:56.705561+00,2
prod_1786829856528,prod_1786829856528,"gothic star pendant ",both,pendants,169,"A star gothic pendant combines celestial symmetry with dark, edgy aesthetics, featuring sharp geometric lines and moody metallic finishes for an unmistakable alternative statement.","[""Sharp Geometric Star Motif"",""Deep Contrast Finishes"",""Ornate Skeletal Framing""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829705158_l32jq72fnt.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786829711730_pr9p3b6bkj.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":5,""inStock"":true}]",false,false,Stainless steel,2026-08-15 21:37:37.746719+00,2026-08-15 21:37:37.746719+00,5
prod_1786869157046,prod_1786869157046,silver waist chain,women,waist-chains,199,"A silver waist chain—often traditionally known as a kamarbandh, tagdi, or belly chain—is a graceful and versatile piece of ornamental jewelry designed to rest delicately around the hips or waist. Seamlessly blending rich cultural heritage with modern minimalist charm, it accentuates the natural curves of the body and adds a subtle, sophisticated shimmer to any outfit. Whether styled traditionally with a classic silk saree and festive lehenga or paired contemporary-style with western high-waisted garments and dresses, a high-quality silver waist chain offers an effortless statement of elegance and poise.","[""versatile fit with adjustable links or extension chain"",""lightweight and comfortable for extended wear"",""hypoallergenic and safe for sensitive skin"",""92.5 sterling Silver construction""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786868898703_bi2oj1bvabs.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786868909429_w8td4u53iud.jpeg,"[""https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786868917084_ekcljkgozj8.jpeg""]",cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":6,""inStock"":true}]",false,false,High quality stainless steel,2026-08-16 08:32:39.233873+00,2026-08-16 08:32:39.233873+00,6
prod_1786869482686,prod_1786869482686,"clover leaf bracelet ",women,bracelets,199,"a clover leaf bracelet is a charming and delicate piece of jewelry featuring distinct four-leaf clover motifs. Designed to drape gracefully around the wrist, it effortlessly combines playful elegance with sophisticated style. Whether crafted as a minimalist metal chain or accented with polished inlays, it adds a refined and stylish touch of grace to both casual daytime looks and formal evening attire.","[""premium metal construction"",""adjustable length with a secure lobster clasp closure"",""hypoallergenic and gentle on sensitive skin""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786869256870_b57wja2ypiv.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786869479850_3bfpamjx4pq.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":10,""inStock"":true}]",false,false,High quality stainless steel,2026-08-16 08:38:03.534279+00,2026-08-16 08:38:03.534279+00,10
prod_1786870172722,prod_1786870172722,"small sizes keepsake heart pendant ",women,pendants,159,"A keepsake heart pendant is a sentimental and timeless piece of jewelry designed to hold personal memories close to your heart. Featuring a classic heart shape, it often serves as a locket or a memorial piece where you can securely store a tiny photo, a small note, or a meaningful token. Combining profound emotional value with graceful craftsmanship, it makes a deeply personal accessory or a treasured gift for someone special.","[""Opening locket or compartment for personal mementos"",""Meaningful and deeply personal gift option"",""Secure closure to keep precious contents safe""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786869765426_lclcesuvmp.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786869772656_294pn38nweg.jpeg,"[""https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786869776960_q9m91ysbi6d.jpeg""]",cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":15,""inStock"":true}]",false,false,stainless steel,2026-08-16 08:49:34.104166+00,2026-08-16 08:49:34.104166+00,15
prod_1786870408005,prod_1786870408005,"maple leaf studs ",women,studs,89,"Maple leaf earrings are a charming and nature-inspired jewelry piece featuring the iconic, intricately detailed silhouette of a maple leaf. Capturing the rustic beauty of autumn, they add a warm, organic touch to any outfit, making them a stylish choice for everyday wear or seasonal accessorizing.","[""lightweight and comfortable for all-day wear"",""secure backing for reliable closure"",""versatile style for casual and seasonal outfits""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870272271_eupg8gv45b.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870282190_ui8msuhjo3.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""stock"":2,""inStock"":true}]",false,false,golden bakelite,2026-08-16 08:53:29.094346+00,2026-08-16 08:53:29.094346+00,2
prod_1786870590568,prod_1786870590568,"curved bow studs ",women,studs,89,"Golden bow studs are charming and delicate earrings shaped like graceful tied ribbons. Bringing a touch of feminine elegance and playful vintage charm to your look, these polished gold studs add a sweet, sophisticated sparkle to both casual everyday outfits and dressy attire.","[""elegant tied ribbon bow silhouette"",""warm, polished gold finish"",""versatile style for casual and formal wear""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870430183_2tsx0zssl6q.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870446893_my35gm6kowh.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":12,""inStock"":true}]",false,false,"golden bakelite ",2026-08-16 08:56:31.093688+00,2026-08-16 08:56:31.093688+00,12
prod_1786870759558,prod_1786870759558,"textured starfish studs ",women,studs,89,"golden textured starfish studs are delightful, ocean-inspired earrings featuring intricately detailed starfish motifs. With a warm golden finish and a tactile, sun-kissed surface, these playful studs bring a touch of coastal elegance and summery charm to your everyday wardrobe.","[""intricate textured starfish design"",""versatile coastal-inspired style"",""compact and lightweight""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870612497_nhpl6u9pifr.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786870620273_ijdqm19z6oe.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":23,""inStock"":true}]",false,false,"golden bakelite ",2026-08-16 08:59:21.000353+00,2026-08-16 08:59:21.000353+00,23
prod_1786871517252,prod_1786871517252,"chainlink bracelet ",both,bracelets,169,"crafted from genuine, high-grade sterling silver, this bracelet features intricate cross-motif links designed with meticulous hand-crafted detail. It serves as a timeless and versatile accessory that seamlessly complements both casual everyday wear and formal attire, whether worn alone as a statement piece or paired with other favorites.","[""authentic sterling silver"",""goth look"",""intricate cross motif links""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786871092283_ogok1883tni.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786871197043_tr8xt4kd1mq.jpeg,"[""https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786871203210_q7mn9qhz5cl.jpeg""]",cover,"[{""id"":""v1"",""name"":""free size"",""stock"":10,""inStock"":true}]",false,false,high quality stainless steel,2026-08-16 09:11:58.928561+00,2026-08-16 09:11:58.928561+00,10
prod_1786873314488,prod_1786873314488,"no piercing nose/earring ",both,nose-rings,29,"designed for effortless wear without the need for actual piercings, these clip-on pieces offer a comfortable and secure hold for all-day use. Featuring a sleek and modern aesthetic, they can be worn flexibly on both the ear and nose to add a chic, edgy accent to any outfit.","[""no Piercing Required"",""comfortable Clip-On Fit"",""versatile Style""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786872322001_fpadreqmm6.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873144361_jgf1v916zs.jpeg,"[""https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873150944_evlwttn52fj.jpeg""]",cover,"[{""id"":""v1"",""name"":""silver "",""stock"":10,""inStock"":true},{""id"":""v1786894467584"",""name"":""golden"",""stock"":15,""inStock"":true}]",false,false,"stainless steel ",2026-08-16 09:41:56.54187+00,2026-08-16 09:41:56.54187+00,25
prod_1786873702719,prod_1786873702719,"tulip bracelet ",women,bracelets,259,"Crafted with delicate precision, this stunning tulip bracelet features an exquisite floral-inspired design that brings a touch of timeless botanical elegance to your wrist. Its polished finish and graceful structure make it an effortless accessory, perfectly suited for adding a sophisticated, charming flair to both your everyday outfits and special occasion wear.","[""premium Polish"",""elegant Botanical Style"",""versatile Everyday Wear""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873534784_o6os3yowr6a.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873545491_rzx06254g7.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":10,""inStock"":true}]",false,false,"high quality stainless steel ",2026-08-16 09:48:24.151478+00,2026-08-16 09:48:24.151478+00,10
prod_1786873979197,,"heart shaped studs ",women,studs,89,"Crafted with a charming and romantic aesthetic, these heart-shaped stud earrings offer a delicate touch of elegance for any occasion. Their lovely design provides a subtle yet sophisticated sparkle, making them a versatile and timeless addition to your everyday jewelry collection.","[""Subtle and sophisticated sparkle"",""Versatile everyday style"",""Charming and romantic aesthetic""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873823188_lc7yzfns07.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786873831162_7utdw7yzr4m.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""inStock"":true}]",false,false,"golden bakelite ",2026-08-16 09:53:00.502365+00,2026-08-16 09:53:00.502365+00,19
prod_1786874264285,,curved heart studs,women,studs,89,"Crafted with a charming and romantic aesthetic, these heart-shaped stud earrings offer a delicate touch of elegance for any occasion. Their lovely design provides a subtle yet sophisticated sparkle, making them a versatile and timeless addition to your everyday jewelry collection.","[""Delicate heart-shaped design"",""Timeless addition to any jewelry collection"",""Versatile everyday style""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786874003003_49kgubllyyy.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786874011892_uiyuf2r2t5p.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""inStock"":true}]",false,false,"golden bakelite ",2026-08-16 09:57:45.902819+00,2026-08-16 09:57:45.902819+00,2
prod_1786875270181,prod_1786875270181,"broad enamel bangles ",women,bangles,229,"featuring a bold statement silhouette, these broad bangles showcase vibrant hand-painted artistry that highlights stunning artisanal elegance. Enhanced by a glossy enamel finish and a rich color palette, they offer a striking and unique addition to any accessory collection.","[""vibrant Hand-Painted Artistry"",""bold Statement Silhouette"",""rich Color Palette""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786875002478_1sphu3ka1k4h.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786875014109_sj5q52jyzfm.jpeg,[],cover,"[{""id"":""v1"",""name"":""Sea green "",""stock"":1,""inStock"":true},{""id"":""v1786875043733"",""name"":""Pastel green"",""stock"":1,""inStock"":true},{""id"":""v1786875049416"",""name"":""Cream"",""stock"":1,""inStock"":true},{""id"":""v1786875097645"",""name"":""Lilac"",""stock"":0,""inStock"":false},{""id"":""v1786875103410"",""name"":""Red"",""stock"":0,""inStock"":false},{""id"":""v1786875115361"",""name"":""Pink"",""stock"":0,""inStock"":false}]",false,false,high quality metal,2026-08-16 10:14:31.48123+00,2026-08-16 10:14:31.48123+00,3
prod_1786885325276,prod_1786885325276,slim enamel bangles,women,bangles,199,"Redefine minimalist elegance with our collection of slim enamel bangles. Featuring a delicate, ultra-thin profile, these bangles offer a modern take on classic wristwear, designed to bring a refined touch of color and sophistication to any ensemble.","[""Hand painted "",""Vibrant Glossy Enamel"",""Open lock fit""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786884355719_ovrtp15kbjd.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786884365575_m8rnutqzxd.jpeg,[],cover,"[{""id"":""v1"",""name"":""Sea green"",""stock"":4,""inStock"":true},{""id"":""v1786885045379"",""name"":""Pink"",""stock"":3,""inStock"":true},{""id"":""v1786885111669"",""name"":""Purple"",""stock"":1,""inStock"":true},{""id"":""v1786885125902"",""name"":""Red"",""stock"":3,""inStock"":true},{""id"":""v1786885148418"",""name"":""Pastel green"",""stock"":0,""inStock"":false},{""id"":""v1786885161469"",""name"":""Cream"",""stock"":0,""inStock"":false}]",false,false,"high quality metal ",2026-08-16 13:02:07.830148+00,2026-08-16 13:02:07.830148+00,11
prod_1786885818729,prod_1786885818729,"golden spiral cuff ",women,cuffs,189,"Make a bold yet graceful statement with our Golden Spiral Cuff. Inspired by the organic shapes found in nature, this striking piece wraps fluidly around the wrist, combining sculptural artistry with timeless metallic shine.","[""durable & Lightweight"",""avoid water contact and humidity"",""sculptural Spiral Design""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786885653660_6d92kjurxht.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786885657867_i9klazgfy1.jpeg,[],cover,"[{""id"":""v1"",""name"":""Free size"",""stock"":2,""inStock"":true}]",false,false,golden bakelite,2026-08-16 13:10:19.534122+00,2026-08-16 13:10:19.534122+00,2
prod_1786886190359,prod_1786886190359,classic arm cuff,women,cuffs,139,"Elevate your accessory game with our Classic Arm Cuff, a bold and sophisticated statement piece designed to celebrate ancient artistry with a modern edge. Perfect for warm-weather styling, festivals, or adding a dramatic flair to evening wear, this sleek band sits gracefully on the upper arm or forearm for an unforgettable look.","[""sleek & Minimalist Design"",""adjustable & Secure Fit"",""premium Metallic Shine""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786886021032_56y4z201a33.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786886025724_cntddokg7fo.jpeg,[],cover,"[{""id"":""v1"",""name"":""free size"",""stock"":1,""inStock"":true}]",false,false,high quality stainless steel,2026-08-16 13:16:31.769804+00,2026-08-16 13:16:31.769804+00,1
prod_1786886695694,prod_1786886695694,golden sea snail arm cuff,women,cuffs,139,"Bring the effortless, organic beauty of the ocean to your style with our Golden Sea Snail Arm Cuff. Inspired by the mesmerizing, natural geometry of marine shells, this sculptural statement piece wraps fluidly around the arm for a look that is both whimsical and deeply sophisticated.","[""Nautilus & Snail-Inspired Silhouette"",""Lightweight Durability"",""Contoured & Adjustable Fit""]",https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786886462879_htjla00cfk.jpeg,https://wagfmihahpdgoqgghpzf.supabase.co/storage/v1/object/public/product-images/products/1786886503444_n998efr47oa.jpeg,[],cover,"[{""id"":""v1"",""name"":""One Size"",""stock"":1,""inStock"":true}]",false,false,high quality stainless steel,2026-08-16 13:24:56.981304+00,2026-08-16 13:24:56.981304+00,1
